Repository,Link,Stars,Watchers,Forks,Commits,Contributors
akka.net,https://github.com/akkadotnet/akka.net,3.5k,304,891,5547,197
automapper,https://github.com/AutoMapper/AutoMapper,7.1k,403,1500,3512,137
benchmarkdotnet,https://github.com/dotnet/BenchmarkDotNet,5.2k,261,554,1980,129
botbuilder,https://github.com/microsoft/botbuilder-dotnet,0.496k,96,294,9010,124
choco,https://github.com/chocolatey/choco,6.4k,237,642,2965,76
commandline,https://github.com/commandlineparser/commandline,2k,64,261,1809,73
commonmark,https://github.com/Knagis/CommonMark.NET,0.929k,66,137,392,11
dapper,https://github.com/StackExchange/Dapper,12.1k,1000,3100,1387,151
entityframework,https://github.com/dotnet/ef6,1.1k,160,474,2921,79
humanizer,https://github.com/Humanizr/Humanizer,4.6k,213,672,1904,167
lean,https://github.com/QuantConnect/Lean,3.3k,347,1600,9887,111
nancy,https://github.com/NancyFx/Nancy,7.1k,460,1500,5473,263
newtonsoft,https://github.com/JamesNK/Newtonsoft.Json,7.7k,527,2600,1821,95
ninject,https://github.com/ninject/Ninject,2.3k,172,526,851,27
nlog,https://github.com/NLog/NLog,4.4k,288,1100,5735,152
openlivewriter,https://github.com/OpenLiveWriter/OpenLiveWriter,2.3k,208,484,696,46
opserver,https://github.com/opserver/Opserver,3.9k,331,785,998,55
orleans,https://github.com/dotnet/orleans,6.4k,550,1500,4824,210
polly,https://github.com/App-vNext/Polly,7.3k,374,743,961,54
quartznet,https://github.com/quartznet/quartznet,3.8k,326,1200,1295,65
restsharp,https://github.com/restsharp/RestSharp,7.1k,459,2000,1743,199
rxnet,https://github.com/dotnet/reactive,4.2k,295,548,3316,59
scriptcs,https://github.com/scriptcs/scriptcs,2.2k,152,375,1961,61
signalr,https://github.com/SignalR/SignalR,8k,712,2200,4684,81
